document_nid,filename,fid,uri,download_url,local_path
15765723,★★시장_2018년_6월_업무추진비_집행내역_v2.2(1).xlsx,88506,/sites/default/files/expense_new/201807/88506.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=15765723&dtype=basic&rid=&fid=88506&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201807%2F88506.xlsx&dname=%E2%98%85%E2%98%85%EC%8B%9C%EC%9E%A5_2018%EB%85%84_6%EC%9B%94_%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84_%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD_v2.2%281%29.xlsx,data/raw_attachments/201806_15765723_88506_★★시장_2018년_6월_업무추진비_집행내역_v2.2(1).xlsx
15446705,★★시장_2018년_5월_업무추진비_집행내역_v2.2(1).xlsx,98585,/sites/default/files/expense_new/201806/98585.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=15446705&dtype=basic&rid=&fid=98585&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201806%2F98585.xlsx&dname=%E2%98%85%E2%98%85%EC%8B%9C%EC%9E%A5_2018%EB%85%84_5%EC%9B%94_%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84_%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD_v2.2%281%29.xlsx,data/raw_attachments/201805_15446705_98585_★★시장_2018년_5월_업무추진비_집행내역_v2.2(1).xlsx
15425798,★★시장_2018년_4월_업무추진비_집행내역_v2.2(1).xlsx,98584,/sites/default/files/expense_new/201806/98584.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=15425798&dtype=basic&rid=&fid=98584&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201806%2F98584.xlsx&dname=%E2%98%85%E2%98%85%EC%8B%9C%EC%9E%A5_2018%EB%85%84_4%EC%9B%94_%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84_%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD_v2.2%281%29.xlsx,data/raw_attachments/201804_15425798_98584_★★시장_2018년_4월_업무추진비_집행내역_v2.2(1).xlsx
15135974,★★시장_2018년_3월_업무추진비_집행내역_v2.2.xlsx,98583,/sites/default/files/expense_new/201804/98583.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=15135974&dtype=basic&rid=&fid=98583&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201804%2F98583.xlsx&dname=%E2%98%85%E2%98%85%EC%8B%9C%EC%9E%A5_2018%EB%85%84_3%EC%9B%94_%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84_%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD_v2.2.xlsx,data/raw_attachments/201803_15135974_98583_★★시장_2018년_3월_업무추진비_집행내역_v2.2.xlsx
15645696,★시장_2018년_2월_업무추진비_집행내역_v2.2.xlsx,98582,/sites/default/files/expense_new/201807/98582.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=15645696&dtype=basic&rid=&fid=98582&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201807%2F98582.xlsx&dname=%E2%98%85%EC%8B%9C%EC%9E%A5_2018%EB%85%84_2%EC%9B%94_%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84_%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD_v2.2.xlsx,data/raw_attachments/201802_15645696_98582_★시장_2018년_2월_업무추진비_집행내역_v2.2.xlsx
16259146,★시장_2018년_1월_업무추진비_집행내역_v2.2.xlsx,90217,/sites/default/files/expense_new/201810/90217.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=16259146&dtype=basic&rid=&fid=90217&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201810%2F90217.xlsx&dname=%E2%98%85%EC%8B%9C%EC%9E%A5_2018%EB%85%84_1%EC%9B%94_%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84_%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD_v2.2.xlsx,data/raw_attachments/201801_16259146_90217_★시장_2018년_1월_업무추진비_집행내역_v2.2.xlsx
14564930,2017년12월공표.xlsx,84536,/sites/default/files/expense_new/201802/84536.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=14564930&dtype=basic&rid=&fid=84536&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201802%2F84536.xlsx&dname=2017%EB%85%8412%EC%9B%94%EA%B3%B5%ED%91%9C.xlsx,data/raw_attachments/201712_14564930_84536_2017년12월공표.xlsx
14159092,2017년11월서울특별시장업무추진비집행내역공표.xlsx,83349,/sites/default/files/expense_new/201712/83349.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=14159092&dtype=basic&rid=&fid=83349&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201712%2F83349.xlsx&dname=2017%EB%85%8411%EC%9B%94%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9E%A5%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD%EA%B3%B5%ED%91%9C.xlsx,data/raw_attachments/201711_14159092_83349_2017년11월서울특별시장업무추진비집행내역공표.xlsx
14004691,2017년10월서울특별시장업무추진비집행내역공표.xlsx,83348,/sites/default/files/expense_new/201711/83348.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=14004691&dtype=basic&rid=&fid=83348&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201711%2F83348.xlsx&dname=2017%EB%85%8410%EC%9B%94%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9E%A5%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD%EA%B3%B5%ED%91%9C.xlsx,data/raw_attachments/201710_14004691_83348_2017년10월서울특별시장업무추진비집행내역공표.xlsx
13910414,2017년9월서울특별시장업무추진비집행내역공표.xlsx,83347,/sites/default/files/expense_new/201711/83347.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=13910414&dtype=basic&rid=&fid=83347&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201711%2F83347.xlsx&dname=2017%EB%85%849%EC%9B%94%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9E%A5%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD%EA%B3%B5%ED%91%9C.xlsx,data/raw_attachments/201709_13910414_83347_2017년9월서울특별시장업무추진비집행내역공표.xlsx
13065116,2017년7월서울특별시장업무추진비집행내역공표.xlsx,80528,/sites/default/files/expense_new/201708/80528.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=13065116&dtype=basic&rid=&fid=80528&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201708%2F80528.xlsx&dname=2017%EB%85%847%EC%9B%94%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9E%A5%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD%EA%B3%B5%ED%91%9C.xlsx,data/raw_attachments/201707_13065116_80528_2017년7월서울특별시장업무추진비집행내역공표.xlsx
12650218,2017년 6월 서울특별시장 업무추진비 집행내역 공표.xlsx,79630,/sites/default/files/expense_new/201707/79630.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=12650218&dtype=basic&rid=&fid=79630&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201707%2F79630.xlsx&dname=2017%EB%85%84+6%EC%9B%94+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%EC%9E%A5+%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84+%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD+%EA%B3%B5%ED%91%9C.xlsx,data/raw_attachments/201706_12650218_79630_2017년_6월_서울특별시장_업무추진비_집행내역_공표.xlsx
